"id","cups"
"zcrm_464730000000071011","ES0021000003978358JE"
"zcrm_464730000000077015",""
"zcrm_464730000000077031",""
"zcrm_464730000000077041",""
"zcrm_464730000000077051",""
"zcrm_464730000000077061",""
"zcrm_464730000000087029",""
"zcrm_464730000000087041",""
"zcrm_464730000000087055",""
"zcrm_464730000000089009",""
"zcrm_464730000000089019",""
"zcrm_464730000000089029",""
"zcrm_464730000000089039",""
"zcrm_464730000000089049",""
"zcrm_464730000000089059",""
"zcrm_464730000000089077",""
"zcrm_464730000000089087",""
"zcrm_464730000000089097",""
"zcrm_464730000000089107",""
"zcrm_464730000000089117","ES0031103460854001DJ0F"
"zcrm_464730000000089129","ES0031103472560001EW0F"
"zcrm_464730000000089141","ES0031103724343001YR0F"
"zcrm_464730000000096036","ES0031103569473001FH0F/ES00311"
"zcrm_464730000000096046","ES0031103308541002AY0F"
"zcrm_464730000000096056","ES0031103414802001JQ0F"
"zcrm_464730000000096066","ES0031103612225001ED0F"
"zcrm_464730000000096076","ES0031103480819001XR0F"
"zcrm_464730000000096089",""
"zcrm_464730000000096105",""
"zcrm_464730000000096113",""
"zcrm_464730000000108015",""
"zcrm_464730000000108023",""
"zcrm_464730000000108045","ES0021000006131936ZH"
"zcrm_464730000000121017","ES0031405433767003RZ0F"
"zcrm_464730000000121025","ES0021000012408797AH"
"zcrm_464730000000121033","ES003140851559001LP"
"zcrm_464730000000121049","ES0021000001065966AM"
"zcrm_464730000000121057","ES002100009338500GZ"
"zcrm_464730000000121065","ES0021000011406104QX"
"zcrm_464730000000121073","ES0022000008543985NR1P"
"zcrm_464730000000121083","ES0031406288164001YG0F"
"zcrm_464730000000126020","ES0031102858678005BN0F"
"zcrm_464730000000257029","ES0031601094301009DT0F"
"zcrm_464730000000257045","ES0031104040262001ZV0F"
"zcrm_464730000000257107","ES0031102337018018VN0F"
"zcrm_464730000000257121","ES0021000011520924VZ"
"zcrm_464730000000257135",""
"zcrm_464730000000257149","ES0022000008835101LY1P"
"zcrm_464730000000257165","ES0021000004663494VB"
"zcrm_464730000000257179","ES0021000016915455PX"
"zcrm_464730000000272038","ES0021000011000567WD"
"zcrm_464730000000324049","ES0031405769456007LQ0F"
"zcrm_464730000000324327","ES0021000005653054PL"
"zcrm_464730000000324343","ES0031406305631024GE0F"
"zcrm_464730000000324363","es0031408121414001GKOF"
"zcrm_464730000000324381",""
"zcrm_464730000000331060","ES0022000006544918JW1P"
"zcrm_464730000000337219","es0021000010201297gn1f"
"zcrm_464730000000353173","ES0031405967524001BZ0F"
"zcrm_464730000000353347","ES0031500552184006QJ0F"
"zcrm_464730000000368056","ES0021000003982643QY"
"zcrm_464730000000368095","ES0031103586701001XY0F"
"zcrm_464730000000368165","ES003110231341300SHZOF"
"zcrm_464730000000416017",""
"zcrm_464730000000421103","ES0021000007003694JF"
"zcrm_464730000000421127","ES0022000007667338FE1P"
"zcrm_464730000000429073",""
"zcrm_464730000000431041","ES0022000007776156RG"
"zcrm_464730000000435053","ES0021000001206866BF"
"zcrm_464730000000435079","ES0031102861396001BY0F"
"zcrm_464730000000435103","ES0021000017634416XZ"
"zcrm_464730000000435127","ES0021000009819092SK"
"zcrm_464730000000435153","ES"
"zcrm_464730000000435177",""
"zcrm_464730000000435201","ES0031300254274001MN0F"
"zcrm_464730000000435227","ES0022000005036609FX1P"
"zcrm_464730000000520011","es0021000016439068HE"
"zcrm_464730000000546349",""
"zcrm_464730000000553299","ES0031300128170001FA"
"zcrm_464730000000607027",""
"zcrm_464730000000607173",""
"zcrm_464730000000646013","ES00210000204942634XT"
"zcrm_464730000000646059","ES0021000010971984RS"
"zcrm_464730000000646089","ES0021000010587259HB1F"
"zcrm_464730000000646107","ES0031104455669001RS0F"
"zcrm_464730000000646129","ES0022000008476408VK1P"
"zcrm_464730000000686061","ES0031104298754001PP0F"
"zcrm_464730000000690153",""
"zcrm_464730000000690259","ES0021000010304709SQ"
"zcrm_464730000000694061","ES0021000006746784KF"
"zcrm_464730000000694109",""
"zcrm_464730000000694143",""
"zcrm_464730000000705080",""
"zcrm_464730000000715208","ES0021000004083151QG0F"
"zcrm_464730000000716081","ES0031104289142001MF0F"
"zcrm_464730000000723007",""
"zcrm_464730000000723071",""
"zcrm_464730000000726054",""
"zcrm_464730000000730009",""
"zcrm_464730000000730031",""
"zcrm_464730000000746011",""
"zcrm_464730000000760015",""
"zcrm_464730000000760041",""
"zcrm_464730000000766083",""
"zcrm_464730000000769043","ES0031102255621001AH0F"
"zcrm_464730000000770015",""
"zcrm_464730000000780036",""
"zcrm_464730000000789013","ES0021000007524596YM"
"zcrm_464730000000789052",""
"zcrm_464730000000789108",""
"zcrm_464730000000799017",""
"zcrm_464730000000799037",""
"zcrm_464730000000822011",""
"zcrm_464730000000835015",""
"zcrm_464730000000835070",""
"zcrm_464730000000835096","ES0021000000148635RY1P"
"zcrm_464730000000852033","ES0031300229814001EB0F"
"zcrm_464730000000857031",""
"zcrm_464730000000870073",""
"zcrm_464730000000891039",""
"zcrm_464730000000901024",""
"zcrm_464730000000901054",""
"zcrm_464730000000901076",""
"zcrm_464730000000904013",""
"zcrm_464730000000907017","Es00220000007035027rg1p"
"zcrm_464730000000907174",""
"zcrm_464730000000955013",""
"zcrm_464730000000957009",""
"zcrm_464730000000971023","ES0031103601577001DC0F"
"zcrm_464730000000977009",""
"zcrm_464730000000977033",""
"zcrm_464730000000977119",""
"zcrm_464730000000977183",""
"zcrm_464730000000977295",""
"zcrm_464730000000984031",""
"zcrm_464730000000985033",""
